Date,old_column,Column,Age_Range,Cases,Daily Cases,Diff
2020-03-05,Female,Female,,1,1.0,
2020-03-05,Aged15to24,Aged,15-24,0,0.0,
2020-03-05,HospitalisedAged25to34,Hospitalised Aged,25-34,0,0.0,
2020-03-06,HospitalisedAged85up,Hospitalised Aged,85+,0,0.0,0.0
2020-03-06,Aged45to54,Aged,45-54,1,0.0,-1.0
2020-03-06,HospitalisedAged35to44,Hospitalised Aged,35-44,2,2.0,2.0
2020-03-06,Aged85up,Aged,85+,0,0.0,0.0
2020-03-06,HospitalisedAged5,Hospitalised Aged,1-4,0,0.0,0.0
2020-03-06,Aged5to14,Aged,5-14,2,1.0,1.0
2020-03-06,Female,Female,,2,1.0,0.0
2020-03-06,Aged15to24,Aged,15-24,0,0.0,0.0
2020-03-06,Aged65to74,Aged,65-74,0,0.0,0.0
2020-03-06,TotalConfirmedCovidCases,Total Confirmed Covid Cases,,18,NaN,5.0
2020-03-06,HospitalisedAged25to34,Hospitalised Aged,25-34,0,0.0,0.0
2020-03-06,Median_Age,Median Age,,41,-8.0,-44.0
2020-03-06,ConfirmedCovidCases,Confirmed Covid Cases,,5,NaN,-2.0
2020-03-06,HospitalisedAged75to84,Hospitalised Aged,75-84,0,0.0,0.0
2020-03-06,HospitalisedAged5to14,Hospitalised Aged,5-14,1,1.0,1.0
2020-03-06,HospitalisedAged65to74,Hospitalised Aged,65-74,0,0.0,0.0
2020-03-06,Male,Male,,3,2.0,2.0
2020-03-06,Aged35to44,Aged,35-44,2,2.0,2.0
2020-03-06,Aged75to84,Aged,75-84,0,0.0,0.0
2020-03-06,RequiringICUCovidCases,Requiring Covid Cases,,0,0.0,0.0
2020-03-06,TotalConfirmedCovidCases,Total Confirmed Covid Cases,,18,NaN,5.0
2020-03-06,HospitalisedAged45to54,Hospitalised Aged,45-54,1,0.0,-1.0
2020-03-06,HospitalisedAged55to64,Hospitalised Aged,55-64,0,0.0,0.0
2020-03-06,Aged55to64,Aged,55-64,0,0.0,0.0
2020-03-06,HealthcareWorkersCovidCases,Healthcare Workers Covid Cases,,2,1.0,0.0
2020-03-06,Unknown,Unknown,,0,0.0,0.0
2020-03-06,Aged25to34,Aged,25-34,0,0.0,0.0
2020-03-06,HospitalisedAged15to24,Hospitalised Aged,15-24,0,0.0,0.0
2020-03-06,Aged1to4,Aged,1-4,0,0.0,0.0
2020-03-06,HospitalisedCovidCases,Hospitalised Covid Cases,,4,3.0,2.0
2020-03-07,HospitalisedAged35to44,Hospitalised Aged,35-44,4,2.0,0.0
2020-03-07,RequiringICUCovidCases,Requiring Covid Cases,,1,1.0,1.0
2020-03-07,Aged85up,Aged,85+,0,0.0,0.0
2020-03-07,Female,Female,,4,2.0,1.0
2020-03-07,Unknown,Unknown,,0,0.0,0.0
2020-03-07,HospitalisedAged65to74,Hospitalised Aged,65-74,0,0.0,0.0
2020-03-07,Male,Male,,4,1.0,-1.0
2020-03-07,HospitalisedAged55to64,Hospitalised Aged,55-64,0,0.0,0.0
2020-03-07,Aged65to74,Aged,65-74,0,0.0,0.0
2020-03-07,HospitalisedAged85up,Hospitalised Aged,85+,0,0.0,0.0
2020-03-07,HospitalisedAged45to54,Hospitalised Aged,45-54,1,0.0,0.0
2020-03-07,TotalConfirmedCovidCases,Total Confirmed Covid Cases,,19,NaN,1.0
2020-03-07,Aged55to64,Aged,55-64,0,0.0,0.0
2020-03-07,HospitalisedAged75to84,Hospitalised Aged,75-84,0,0.0,0.0
2020-03-07,Aged1to4,Aged,1-4,0,0.0,0.0
2020-03-07,HospitalisedAged25to34,Hospitalised Aged,25-34,0,0.0,0.0
2020-03-07,Aged15to24,Aged,15-24,0,0.0,0.0
2020-03-07,Median_Age,Median Age,,38,-3.0,5.0
2020-03-07,Aged45to54,Aged,45-54,1,0.0,0.0
2020-03-07,HospitalisedAged5to14,Hospitalised Aged,5-14,2,1.0,0.0
2020-03-07,ConfirmedCovidCases,Confirmed Covid Cases,,1,NaN,-4.0
2020-03-07,HospitalisedCovidCases,Hospitalised Covid Cases,,7,3.0,0.0
2020-03-07,Aged25to34,Aged,25-34,0,0.0,0.0
2020-03-07,Aged5to14,Aged,5-14,3,1.0,0.0
2020-03-07,TotalConfirmedCovidCases,Total Confirmed Covid Cases,,19,NaN,1.0
2020-03-07,HealthcareWorkersCovidCases,Healthcare Workers Covid Cases,,2,0.0,-1.0
2020-03-07,Aged35to44,Aged,35-44,4,2.0,0.0
2020-03-07,Aged75to84,Aged,75-84,0,0.0,0.0
2020-03-07,HospitalisedAged5,Hospitalised Aged,1-4,0,0.0,0.0
2020-03-07,HospitalisedAged15to24,Hospitalised Aged,15-24,0,0.0,0.0
2020-03-08,HospitalisedAged25to34,Hospitalised Aged,25-34,0,0.0,0.0
2020-03-08,Aged65to74,Aged,65-74,0,0.0,0.0
2020-03-08,HospitalisedAged85up,Hospitalised Aged,85+,0,0.0,0.0
2020-03-08,Aged1to4,Aged,1-4,0,0.0,0.0
2020-03-08,HospitalisedAged45to54,Hospitalised Aged,45-54,2,1.0,1.0
2020-03-08,Aged5to14,Aged,5-14,3,0.0,-1.0
2020-03-08,TotalConfirmedCovidCases,Total Confirmed Covid Cases,,21,NaN,2.0
2020-03-08,HospitalisedAged75to84,Hospitalised Aged,75-84,0,0.0,0.0
2020-03-08,Aged55to64,Aged,55-64,1,1.0,1.0
2020-03-08,HospitalisedAged5,Hospitalised Aged,1-4,0,0.0,0.0
2020-03-08,HospitalisedAged65to74,Hospitalised Aged,65-74,0,0.0,0.0
2020-03-08,Aged15to24,Aged,15-24,0,0.0,0.0
2020-03-08,HospitalisedAged15to24,Hospitalised Aged,15-24,0,0.0,0.0
2020-03-08,Aged75to84,Aged,75-84,0,0.0,0.0
2020-03-08,Male,Male,,8,4.0,3.0
2020-03-08,HospitalisedAged35to44,Hospitalised Aged,35-44,5,1.0,-1.0
2020-03-08,Median_Age,Median Age,,49,11.0,14.0
2020-03-08,Aged45to54,Aged,45-54,3,2.0,2.0
2020-03-08,HospitalisedCovidCases,Hospitalised Covid Cases,,9,2.0,-1.0
2020-03-08,ConfirmedCovidCases,Confirmed Covid Cases,,2,NaN,1.0
2020-03-08,Aged85up,Aged,85+,0,0.0,0.0
2020-03-08,Unknown,Unknown,,0,0.0,0.0
2020-03-08,Aged35to44,Aged,35-44,6,2.0,0.0
2020-03-08,HospitalisedAged5to14,Hospitalised Aged,5-14,2,0.0,-1.0
2020-03-08,RequiringICUCovidCases,Requiring Covid Cases,,1,0.0,-1.0
2020-03-08,Aged25to34,Aged,25-34,0,0.0,0.0
2020-03-08,HospitalisedAged55to64,Hospitalised Aged,55-64,0,0.0,0.0
2020-03-08,TotalConfirmedCovidCases,Total Confirmed Covid Cases,,21,NaN,2.0
2020-03-08,Female,Female,,5,1.0,-1.0
2020-03-08,HealthcareWorkersCovidCases,Healthcare Workers Covid Cases,,2,0.0,0.0
2020-03-09,HospitalisedAged5,Hospitalised Aged,1-4,0,0.0,0.0
2020-03-09,Aged15to24,Aged,15-24,0,0.0,0.0
2020-03-09,Aged45to54,Aged,45-54,3,0.0,-2.0
2020-03-09,Female,Female,,7,2.0,1.0
2020-03-09,Aged1to4,Aged,1-4,0,0.0,0.0
2020-03-09,ConfirmedCovidCases,Confirmed Covid Cases,,3,NaN,1.0
2020-03-09,Unknown,Unknown,,0,0.0,0.0
2020-03-09,HospitalisedAged25to34,Hospitalised Aged,25-34,0,0.0,0.0
2020-03-09,HospitalisedAged15to24,Hospitalised Aged,15-24,0,0.0,0.0
2020-03-09,Aged85up,Aged,85+,0,0.0,0.0
2020-03-09,HospitalisedAged35to44,Hospitalised Aged,35-44,6,1.0,0.0
2020-03-09,Aged5to14,Aged,5-14,3,0.0,0.0
2020-03-09,HealthcareWorkersCovidCases,Healthcare Workers Covid Cases,,3,1.0,1.0
2020-03-09,TotalConfirmedCovidCases,Total Confirmed Covid Cases,,24,NaN,3.0
2020-03-09,Aged35to44,Aged,35-44,7,1.0,-1.0
2020-03-09,Aged25to34,Aged,25-34,1,1.0,1.0
2020-03-09,Aged75to84,Aged,75-84,0,0.0,0.0
2020-03-09,HospitalisedCovidCases,Hospitalised Covid Cases,,11,2.0,0.0
2020-03-09,Median_Age,Median Age,,38,-11.0,-22.0
2020-03-09,RequiringICUCovidCases,Requiring Covid Cases,,1,0.0,0.0
2020-03-09,HospitalisedAged5to14,Hospitalised Aged,5-14,2,0.0,0.0
2020-03-09,HospitalisedAged55to64,Hospitalised Aged,55-64,1,1.0,1.0
2020-03-09,TotalConfirmedCovidCases,Total Confirmed Covid Cases,,24,NaN,3.0
2020-03-09,Male,Male,,9,1.0,-3.0
2020-03-09,HospitalisedAged45to54,Hospitalised Aged,45-54,2,0.0,-1.0
2020-03-09,HospitalisedAged85up,Hospitalised Aged,85+,0,0.0,0.0
2020-03-09,HospitalisedAged75to84,Hospitalised Aged,75-84,0,0.0,0.0
2020-03-09,HospitalisedAged65to74,Hospitalised Aged,65-74,0,0.0,0.0
2020-03-09,Aged55to64,Aged,55-64,2,1.0,0.0
2020-03-09,Aged65to74,Aged,65-74,0,0.0,0.0
2020-03-10,Aged5to14,Aged,5-14,3,0.0,0.0
2020-03-10,HospitalisedAged5,Hospitalised Aged,1-4,0,0.0,0.0
2020-03-10,HospitalisedCovidCases,Hospitalised Covid Cases,,13,2.0,0.0
2020-03-10,ConfirmedCovidCases,Confirmed Covid Cases,,10,NaN,7.0
2020-03-10,HospitalisedAged55to64,Hospitalised Aged,55-64,1,0.0,-1.0
2020-03-10,HospitalisedAged45to54,Hospitalised Aged,45-54,2,0.0,0.0
2020-03-10,Aged75to84,Aged,75-84,0,0.0,0.0
2020-03-10,TotalConfirmedCovidCases,Total Confirmed Covid Cases,,34,NaN,10.0
2020-03-10,HospitalisedAged35to44,Hospitalised Aged,35-44,6,0.0,-1.0
2020-03-10,Aged85up,Aged,85+,0,0.0,0.0
2020-03-10,Aged65to74,Aged,65-74,2,2.0,2.0
2020-03-10,Aged35to44,Aged,35-44,7,0.0,-1.0
2020-03-10,HospitalisedAged5to14,Hospitalised Aged,5-14,2,0.0,0.0
2020-03-10,Unknown,Unknown,,0,0.0,0.0
2020-03-10,Male,Male,,11,2.0,1.0
2020-03-10,HospitalisedAged75to84,Hospitalised Aged,75-84,0,0.0,0.0
2020-03-10,HospitalisedAged25to34,Hospitalised Aged,25-34,0,0.0,0.0
2020-03-10,Aged15to24,Aged,15-24,0,0.0,0.0
2020-03-10,HospitalisedAged65to74,Hospitalised Aged,65-74,2,2.0,2.0
2020-03-10,Aged45to54,Aged,45-54,3,0.0,0.0
2020-03-10,RequiringICUCovidCases,Requiring Covid Cases,,2,1.0,1.0
2020-03-10,Aged55to64,Aged,55-64,2,0.0,-1.0
2020-03-10,Aged1to4,Aged,1-4,0,0.0,0.0
2020-03-10,Female,Female,,7,0.0,-2.0
2020-03-10,Median_Age,Median Age,,70,32.0,43.0
2020-03-10,HospitalisedAged85up,Hospitalised Aged,85+,0,0.0,0.0
2020-03-10,Aged25to34,Aged,25-34,1,0.0,-1.0
2020-03-10,HospitalisedAged15to24,Hospitalised Aged,15-24,0,0.0,0.0
2020-03-10,HealthcareWorkersCovidCases,Healthcare Workers Covid Cases,,3,0.0,-1.0
2020-03-10,TotalConfirmedCovidCases,Total Confirmed Covid Cases,,34,NaN,10.0
2020-03-11,HospitalisedAged65to74,Hospitalised Aged,65-74,2,0.0,-2.0
2020-03-11,Male,Male,,13,2.0,0.0
2020-03-11,Aged1to4,Aged,1-4,0,0.0,0.0
2020-03-11,TotalConfirmedCovidCases,Total Confirmed Covid Cases,,43,NaN,9.0
2020-03-11,HospitalisedAged15to24,Hospitalised Aged,15-24,0,0.0,0.0
2020-03-11,HospitalisedAged35to44,Hospitalised Aged,35-44,7,1.0,1.0
2020-03-11,Aged35to44,Aged,35-44,8,1.0,1.0
2020-03-11,HospitalisedAged5to14,Hospitalised Aged,5-14,2,0.0,0.0
2020-03-11,Aged5to14,Aged,5-14,3,0.0,0.0
2020-03-11,RequiringICUCovidCases,Requiring Covid Cases,,2,0.0,-1.0
2020-03-11,Aged65to74,Aged,65-74,3,1.0,-1.0
2020-03-11,HospitalisedAged5,Hospitalised Aged,1-4,0,0.0,0.0
2020-03-11,Aged85up,Aged,85+,0,0.0,0.0
2020-03-11,Female,Female,,12,5.0,5.0
2020-03-11,Unknown,Unknown,,0,0.0,0.0
2020-03-11,TotalConfirmedCovidCases,Total Confirmed Covid Cases,,43,NaN,9.0
2020-03-11,Aged25to34,Aged,25-34,1,0.0,0.0
2020-03-11,Aged75to84,Aged,75-84,0,0.0,0.0
2020-03-11,Aged15to24,Aged,15-24,0,0.0,0.0
2020-03-11,Aged55to64,Aged,55-64,5,3.0,3.0
2020-03-11,HospitalisedAged25to34,Hospitalised Aged,25-34,0,0.0,0.0
2020-03-11,ConfirmedCovidCases,Confirmed Covid Cases,,9,NaN,-1.0
2020-03-11,HospitalisedCovidCases,Hospitalised Covid Cases,,18,5.0,3.0
2020-03-11,Median_Age,Median Age,,61,-9.0,-41.0
2020-03-11,Aged45to54,Aged,45-54,5,2.0,2.0
2020-03-11,HospitalisedAged55to64,Hospitalised Aged,55-64,3,2.0,2.0
2020-03-11,HospitalisedAged75to84,Hospitalised Aged,75-84,0,0.0,0.0
2020-03-11,HealthcareWorkersCovidCases,Healthcare Workers Covid Cases,,5,2.0,2.0
2020-03-11,HospitalisedAged85up,Hospitalised Aged,85+,0,0.0,0.0
2020-03-11,HospitalisedAged45to54,Hospitalised Aged,45-54,4,2.0,2.0
2020-03-12,Unknown,Unknown,,0,0.0,0.0
2020-03-12,HospitalisedAged5to14,Hospitalised Aged,5-14,2,0.0,0.0
2020-03-12,Aged45to54,Aged,45-54,7,2.0,0.0
2020-03-12,RequiringICUCovidCases,Requiring Covid Cases,,3,1.0,1.0
2020-03-12,HospitalisedAged75to84,Hospitalised Aged,75-84,1,1.0,1.0
2020-03-12,HospitalisedAged25to34,Hospitalised Aged,25-34,3,3.0,3.0
2020-03-12,HospitalisedAged5,Hospitalised Aged,1-4,0,0.0,0.0
2020-03-12,TotalConfirmedCovidCases,Total Confirmed Covid Cases,,70,NaN,27.0
2020-03-12,HospitalisedAged85up,Hospitalised Aged,85+,0,0.0,0.0
2020-03-12,Median_Age,Median Age,,46,-15.0,-6.0
2020-03-12,Aged15to24,Aged,15-24,1,1.0,1.0
2020-03-12,Female,Female,,17,5.0,0.0
2020-03-12,Male,Male,,20,7.0,5.0
2020-03-12,Aged35to44,Aged,35-44,9,1.0,0.0
2020-03-12,Aged1to4,Aged,1-4,0,0.0,0.0
2020-03-12,Aged55to64,Aged,55-64,8,3.0,0.0
2020-03-12,HospitalisedCovidCases,Hospitalised Covid Cases,,28,10.0,5.0
2020-03-12,HospitalisedAged55to64,Hospitalised Aged,55-64,6,3.0,1.0
2020-03-12,HospitalisedAged45to54,Hospitalised Aged,45-54,6,2.0,0.0
2020-03-12,HealthcareWorkersCovidCases,Healthcare Workers Covid Cases,,8,3.0,1.0
2020-03-12,Aged25to34,Aged,25-34,4,3.0,3.0
2020-03-12,TotalConfirmedCovidCases,Total Confirmed Covid Cases,,70,NaN,27.0
2020-03-12,HospitalisedAged15to24,Hospitalised Aged,15-24,0,0.0,0.0
2020-03-12,Aged75to84,Aged,75-84,1,1.0,1.0
2020-03-12,Aged85up,Aged,85+,0,0.0,0.0
2020-03-12,HospitalisedAged35to44,Hospitalised Aged,35-44,7,0.0,-1.0
2020-03-12,HospitalisedAged65to74,Hospitalised Aged,65-74,3,1.0,1.0
2020-03-12,ConfirmedCovidCases,Confirmed Covid Cases,,27,NaN,18.0
2020-03-12,Aged65to74,Aged,65-74,4,1.0,0.0
2020-03-12,Aged5to14,Aged,5-14,3,0.0,0.0
2020-03-13,HospitalisedAged65to74,Hospitalised Aged,65-74,5,2.0,1.0
2020-03-13,Aged15to24,Aged,15-24,1,0.0,-1.0
2020-03-13,Aged85up,Aged,85+,1,1.0,1.0
2020-03-13,Aged1to4,Aged,1-4,0,0.0,0.0
2020-03-13,Aged5to14,Aged,5-14,3,0.0,0.0
2020-03-13,HospitalisedAged25to34,Hospitalised Aged,25-34,5,2.0,-1.0
2020-03-13,HospitalisedAged75to84,Hospitalised Aged,75-84,2,1.0,0.0
2020-03-13,HospitalisedCovidCases,Hospitalised Covid Cases,,37,9.0,-1.0
2020-03-13,HospitalisedAged55to64,Hospitalised Aged,55-64,9,3.0,0.0
2020-03-13,HospitalisedAged35to44,Hospitalised Aged,35-44,7,0.0,0.0
2020-03-13,HospitalisedAged85up,Hospitalised Aged,85+,0,0.0,0.0
2020-03-13,HospitalisedAged45to54,Hospitalised Aged,45-54,7,1.0,-1.0
2020-03-13,Aged35to44,Aged,35-44,9,0.0,-1.0
2020-03-13,Aged75to84,Aged,75-84,2,1.0,0.0
2020-03-13,Median_Age,Median Age,,61,15.0,30.0
2020-03-13,Female,Female,,20,3.0,-2.0
2020-03-13,Aged25to34,Aged,25-34,6,2.0,-1.0
2020-03-13,TotalConfirmedCovidCases,Total Confirmed Covid Cases,,90,NaN,20.0
2020-03-13,Male,Male,,29,9.0,2.0
2020-03-13,HospitalisedAged5to14,Hospitalised Aged,5-14,2,0.0,0.0
2020-03-13,HospitalisedAged15to24,Hospitalised Aged,15-24,0,0.0,0.0
2020-03-13,Unknown,Unknown,,0,0.0,0.0
2020-03-13,ConfirmedCovidCases,Confirmed Covid Cases,,20,NaN,-7.0
2020-03-13,RequiringICUCovidCases,Requiring Covid Cases,,5,2.0,1.0
2020-03-13,HospitalisedAged5,Hospitalised Aged,1-4,0,0.0,0.0
2020-03-13,Aged55to64,Aged,55-64,12,4.0,1.0
2020-03-13,Aged45to54,Aged,45-54,9,2.0,0.0
2020-03-13,TotalConfirmedCovidCases,Total Confirmed Covid Cases,,90,NaN,20.0
2020-03-13,Aged65to74,Aged,65-74,6,2.0,1.0
2020-03-13,HealthcareWorkersCovidCases,Healthcare Workers Covid Cases,,10,2.0,-1.0
2020-03-14,HealthcareWorkersCovidCases,Healthcare Workers Covid Cases,,14,4.0,2.0
2020-03-14,Female,Female,,33,13.0,10.0
2020-03-14,Aged65to74,Aged,65-74,8,2.0,0.0
2020-03-14,Aged55to64,Aged,55-64,15,3.0,-1.0
2020-03-14,Aged5to14,Aged,5-14,3,0.0,0.0
2020-03-14,HospitalisedAged25to34,Hospitalised Aged,25-34,7,2.0,0.0
2020-03-14,Aged25to34,Aged,25-34,11,5.0,3.0
2020-03-14,ConfirmedCovidCases,Confirmed Covid Cases,,39,NaN,19.0
2020-03-14,HospitalisedCovidCases,Hospitalised Covid Cases,,48,11.0,2.0
2020-03-14,Aged35to44,Aged,35-44,14,5.0,5.0
2020-03-14,Aged75to84,Aged,75-84,2,0.0,-1.0
2020-03-14,HospitalisedAged75to84,Hospitalised Aged,75-84,2,0.0,-1.0
2020-03-14,HospitalisedAged35to44,Hospitalised Aged,35-44,10,3.0,3.0
2020-03-14,Aged45to54,Aged,45-54,13,4.0,2.0
2020-03-14,HospitalisedAged85up,Hospitalised Aged,85+,0,0.0,0.0
2020-03-14,TotalConfirmedCovidCases,Total Confirmed Covid Cases,,129,NaN,39.0
2020-03-14,HospitalisedAged45to54,Hospitalised Aged,45-54,7,0.0,-1.0
2020-03-14,Median_Age,Median Age,,31,-30.0,-45.0
2020-03-14,RequiringICUCovidCases,Requiring Covid Cases,,8,3.0,1.0
2020-03-14,Male,Male,,45,16.0,7.0
2020-03-14,HospitalisedAged55to64,Hospitalised Aged,55-64,11,2.0,-1.0
2020-03-14,Unknown,Unknown,,0,0.0,0.0
2020-03-14,HospitalisedAged5to14,Hospitalised Aged,5-14,2,0.0,0.0
2020-03-14,HospitalisedAged5,Hospitalised Aged,1-4,0,0.0,0.0
2020-03-14,Aged15to24,Aged,15-24,11,10.0,10.0
2020-03-14,Aged85up,Aged,85+,1,0.0,-1.0
2020-03-14,HospitalisedAged65to74,Hospitalised Aged,65-74,7,2.0,0.0
2020-03-14,Aged1to4,Aged,1-4,0,0.0,0.0
2020-03-14,TotalConfirmedCovidCases,Total Confirmed Covid Cases,,129,NaN,39.0
2020-03-14,HospitalisedAged15to24,Hospitalised Aged,15-24,2,2.0,2.0
2020-03-15,Aged65to74,Aged,65-74,8,0.0,-2.0
2020-03-15,Unknown,Unknown,,0,0.0,0.0
2020-03-15,Aged5to14,Aged,5-14,4,1.0,1.0
2020-03-15,Aged75to84,Aged,75-84,4,2.0,2.0
2020-03-15,HospitalisedAged5,Hospitalised Aged,1-4,0,0.0,0.0
2020-03-15,Aged85up,Aged,85+,2,1.0,1.0
2020-03-15,HospitalisedAged55to64,Hospitalised Aged,55-64,14,3.0,1.0
2020-03-15,Female,Female,,45,12.0,-1.0
2020-03-15,TotalConfirmedCovidCases,Total Confirmed Covid Cases,,169,NaN,40.0
2020-03-15,Aged35to44,Aged,35-44,20,6.0,1.0
2020-03-15,HospitalisedAged75to84,Hospitalised Aged,75-84,3,1.0,1.0
2020-03-15,HospitalisedAged15to24,Hospitalised Aged,15-24,3,1.0,-1.0
2020-03-15,HospitalisedAged85up,Hospitalised Aged,85+,0,0.0,0.0
2020-03-15,TotalConfirmedCovidCases,Total Confirmed Covid Cases,,169,NaN,40.0
2020-03-15,Median_Age,Median Age,,49,18.0,48.0
2020-03-15,Aged55to64,Aged,55-64,24,9.0,6.0
2020-03-15,HospitalisedAged45to54,Hospitalised Aged,45-54,8,1.0,1.0
2020-03-15,Aged1to4,Aged,1-4,0,0.0,0.0
2020-03-15,RequiringICUCovidCases,Requiring Covid Cases,,8,0.0,-3.0
2020-03-15,HealthcareWorkersCovidCases,Healthcare Workers Covid Cases,,24,10.0,6.0
2020-03-15,HospitalisedAged25to34,Hospitalised Aged,25-34,8,1.0,-1.0
2020-03-15,Male,Male,,65,20.0,4.0
2020-03-15,Aged15to24,Aged,15-24,13,2.0,-8.0
2020-03-15,HospitalisedAged35to44,Hospitalised Aged,35-44,11,1.0,-2.0
2020-03-15,HospitalisedAged65to74,Hospitalised Aged,65-74,7,0.0,-2.0
2020-03-15,ConfirmedCovidCases,Confirmed Covid Cases,,40,NaN,1.0
2020-03-15,HospitalisedCovidCases,Hospitalised Covid Cases,,56,8.0,-3.0
2020-03-15,Aged25to34,Aged,25-34,14,3.0,-2.0
2020-03-15,Aged45to54,Aged,45-54,21,8.0,4.0
2020-03-15,HospitalisedAged5to14,Hospitalised Aged,5-14,2,0.0,0.0
2020-03-16,TotalConfirmedCovidCases,Total Confirmed Covid Cases,,223,NaN,54.0
2020-03-16,TotalConfirmedCovidCases,Total Confirmed Covid Cases,,223,NaN,54.0
2020-03-16,Aged35to44,Aged,35-44,27,7.0,1.0
2020-03-16,Aged65to74,Aged,65-74,14,6.0,6.0
2020-03-16,HospitalisedAged5to14,Hospitalised Aged,5-14,2,0.0,0.0
2020-03-16,Median_Age,Median Age,,48,-1.0,-19.0
2020-03-16,HospitalisedAged55to64,Hospitalised Aged,55-64,15,1.0,-2.0
2020-03-16,Aged55to64,Aged,55-64,30,6.0,-3.0
2020-03-16,HospitalisedAged65to74,Hospitalised Aged,65-74,10,3.0,3.0
2020-03-16,HospitalisedAged85up,Hospitalised Aged,85+,1,1.0,1.0
2020-03-16,Aged85up,Aged,85+,3,1.0,0.0
2020-03-16,HospitalisedAged45to54,Hospitalised Aged,45-54,9,1.0,0.0
