Date,Column,Age Range,Cases,Daily Cases,Diff
2020-03-04,Aged,25-34,0.0,,
2020-03-04,Hospitalised Covid Cases,,0.0,,
2020-03-04,Aged,85+,0.0,,
2020-03-04,Hospitalised Aged,65-74,0.0,,
2020-03-04,Hospitalised Aged,15-24,0.0,,
2020-03-04,Aged,1-4,0.0,,
2020-03-04,Aged,55-64,0.0,,
2020-03-04,Aged,35-44,0.0,,
2020-03-04,Aged,5-14,1.0,,
2020-03-04,Healthcare Workers Covid Cases,,0.0,,
2020-03-04,Unknown,,0.0,,
2020-03-04,Female,,0.0,,
2020-03-04,Male,,1.0,,
2020-03-04,Hospitalised Aged,85+,0.0,,
2020-03-04,Hospitalised Aged,25-34,0.0,,
2020-03-04,Hospitalised Aged,55-64,0.0,,
2020-03-04,Clusters Notified,,,,
2020-03-04,Hospitalised Aged,5-14,0.0,,
2020-03-04,Confirmed Covid Cases,,4.0,,3.0
2020-03-04,Aged,75-84,0.0,,
2020-03-05,Hospitalised Aged,75-84,0.0,0.0,
2020-03-05,Aged,75-84,0.0,0.0,
2020-03-05,Aged,15-24,0.0,0.0,
2020-03-05,Aged,35-44,0.0,0.0,
2020-03-05,Hospitalised Aged,65-74,0.0,0.0,
2020-03-05,Aged,65-74,0.0,0.0,
2020-03-05,Requiring Covid Cases,,0.0,0.0,
2020-03-05,Total Covid Deaths,,0.0,,0.0
2020-03-05,Total Confirmed Covid Cases,,13.0,,7.0
2020-03-05,Aged,85+,0.0,0.0,
2020-03-05,Hospitalised Aged,25-34,0.0,0.0,
2020-03-05,Unknown,,0.0,0.0,
2020-03-05,Hospitalised Aged,15-24,0.0,0.0,
2020-03-05,Male,,1.0,0.0,
2020-03-05,Female,,1.0,1.0,
2020-03-05,Aged,1-4,0.0,0.0,
2020-03-05,Hospitalised Aged,1-4,0.0,0.0,
2020-03-05,Aged,55-64,0.0,0.0,
2020-03-05,Hospitalised Aged,85+,0.0,0.0,
2020-03-05,Hospitalised Aged,5-14,0.0,0.0,
2020-03-05,Hospitalised Aged,45-54,1.0,1.0,
2020-03-05,Aged,5-14,1.0,0.0,
2020-03-05,Total Confirmed Covid Cases,,13.0,,7.0
2020-03-05,Hospitalised Aged,35-44,0.0,0.0,
2020-03-05,Median Age,,49.0,36.0,
2020-03-05,Aged,45-54,1.0,1.0,
2020-03-05,Confirmed Covid Deaths,,0.0,,0.0
2020-03-05,Hospitalised Covid Cases,,1.0,1.0,
2020-03-05,Healthcare Workers Covid Cases,,1.0,1.0,
2020-03-05,Hospitalised Aged,55-64,0.0,0.0,
2020-03-05,Aged,25-34,0.0,0.0,
2020-03-05,Clusters Notified,,,,
2020-03-05,Confirmed Covid Cases,,7.0,,3.0
2020-03-06,Total Confirmed Covid Cases,,18.0,,5.0
2020-03-06,Aged,85+,0.0,0.0,0.0
2020-03-06,Hospitalised Aged,65-74,0.0,0.0,0.0
2020-03-06,Hospitalised Aged,55-64,0.0,0.0,0.0
2020-03-06,Hospitalised Aged,85+,0.0,0.0,0.0
2020-03-06,Hospitalised Aged,25-34,0.0,0.0,0.0
2020-03-06,Unknown,,0.0,0.0,0.0
2020-03-06,Hospitalised Covid Cases,,4.0,3.0,2.0
2020-03-06,Aged,35-44,2.0,2.0,2.0
2020-03-06,Hospitalised Aged,35-44,2.0,2.0,2.0
2020-03-06,Aged,55-64,0.0,0.0,0.0
2020-03-06,Hospitalised Aged,75-84,0.0,0.0,0.0
2020-03-06,Aged,25-34,0.0,0.0,0.0
2020-03-06,Clusters Notified,,,,
2020-03-06,Female,,2.0,1.0,0.0
2020-03-06,Male,,3.0,2.0,2.0
2020-03-06,Aged,15-24,0.0,0.0,0.0
2020-03-06,Healthcare Workers Covid Cases,,2.0,1.0,0.0
2020-03-06,Aged,1-4,0.0,0.0,0.0
2020-03-06,Hospitalised Aged,15-24,0.0,0.0,0.0
2020-03-06,Total Confirmed Covid Cases,,18.0,,5.0
2020-03-06,Confirmed Covid Deaths,,0.0,,0.0
2020-03-06,Median Age,,41.0,-8.0,-44.0
2020-03-06,Hospitalised Aged,1-4,0.0,0.0,0.0
2020-03-06,Total Covid Deaths,,0.0,,0.0
2020-03-06,Aged,75-84,0.0,0.0,0.0
2020-03-06,Confirmed Covid Cases,,5.0,,-2.0
2020-03-06,Aged,5-14,2.0,1.0,1.0
2020-03-06,Hospitalised Aged,5-14,1.0,1.0,1.0
2020-03-06,Aged,65-74,0.0,0.0,0.0
2020-03-06,Aged,45-54,1.0,0.0,-1.0
2020-03-06,Requiring Covid Cases,,0.0,0.0,0.0
2020-03-06,Hospitalised Aged,45-54,1.0,0.0,-1.0
2020-03-07,Aged,1-4,0.0,0.0,0.0
2020-03-07,Hospitalised Aged,35-44,4.0,2.0,0.0
2020-03-07,Male,,4.0,1.0,-1.0
2020-03-07,Aged,25-34,0.0,0.0,0.0
2020-03-07,Healthcare Workers Covid Cases,,2.0,0.0,-1.0
2020-03-07,Aged,55-64,0.0,0.0,0.0
2020-03-07,Hospitalised Aged,15-24,0.0,0.0,0.0
2020-03-07,Hospitalised Aged,5-14,2.0,1.0,0.0
2020-03-07,Clusters Notified,,,,
2020-03-07,Aged,15-24,0.0,0.0,0.0
2020-03-07,Requiring Covid Cases,,1.0,1.0,1.0
2020-03-07,Female,,4.0,2.0,1.0
2020-03-07,Aged,45-54,1.0,0.0,0.0
2020-03-07,Aged,65-74,0.0,0.0,0.0
2020-03-07,Hospitalised Aged,45-54,1.0,0.0,0.0
2020-03-07,Aged,75-84,0.0,0.0,0.0
2020-03-07,Confirmed Covid Deaths,,0.0,,0.0
2020-03-07,Aged,35-44,4.0,2.0,0.0
2020-03-07,Total Confirmed Covid Cases,,19.0,,1.0
2020-03-07,Aged,5-14,3.0,1.0,0.0
2020-03-07,Hospitalised Aged,65-74,0.0,0.0,0.0
2020-03-07,Aged,85+,0.0,0.0,0.0
2020-03-07,Hospitalised Covid Cases,,7.0,3.0,0.0
2020-03-07,Confirmed Covid Cases,,1.0,,-4.0
2020-03-07,Hospitalised Aged,85+,0.0,0.0,0.0
2020-03-07,Hospitalised Aged,1-4,0.0,0.0,0.0
2020-03-07,Hospitalised Aged,55-64,0.0,0.0,0.0
2020-03-07,Hospitalised Aged,25-34,0.0,0.0,0.0
2020-03-07,Unknown,,0.0,0.0,0.0
2020-03-07,Median Age,,38.0,-3.0,5.0
2020-03-07,Total Covid Deaths,,0.0,,0.0
2020-03-07,Hospitalised Aged,75-84,0.0,0.0,0.0
2020-03-07,Total Confirmed Covid Cases,,19.0,,1.0
2020-03-08,Hospitalised Aged,25-34,0.0,0.0,0.0
2020-03-08,Hospitalised Aged,75-84,0.0,0.0,0.0
2020-03-08,Aged,65-74,0.0,0.0,0.0
2020-03-08,Aged,85+,0.0,0.0,0.0
2020-03-08,Hospitalised Aged,45-54,2.0,1.0,1.0
2020-03-08,Aged,35-44,6.0,2.0,0.0
2020-03-08,Healthcare Workers Covid Cases,,2.0,0.0,0.0
2020-03-08,Male,,8.0,4.0,3.0
2020-03-08,Unknown,,0.0,0.0,0.0
2020-03-08,Aged,25-34,0.0,0.0,0.0
2020-03-08,Total Confirmed Covid Cases,,21.0,,2.0
2020-03-08,Total Covid Deaths,,0.0,,0.0
2020-03-08,Aged,15-24,0.0,0.0,0.0
2020-03-08,Female,,5.0,1.0,-1.0
2020-03-08,Median Age,,49.0,11.0,14.0
2020-03-08,Requiring Covid Cases,,1.0,0.0,-1.0
2020-03-08,Hospitalised Aged,55-64,0.0,0.0,0.0
2020-03-08,Hospitalised Aged,1-4,0.0,0.0,0.0
2020-03-08,Hospitalised Aged,85+,0.0,0.0,0.0
2020-03-08,Confirmed Covid Deaths,,0.0,,0.0
2020-03-08,Clusters Notified,,,,
2020-03-08,Confirmed Covid Cases,,2.0,,1.0
2020-03-08,Hospitalised Covid Cases,,9.0,2.0,-1.0
2020-03-08,Hospitalised Aged,35-44,5.0,1.0,-1.0
2020-03-08,Aged,55-64,1.0,1.0,1.0
2020-03-08,Aged,75-84,0.0,0.0,0.0
2020-03-08,Aged,45-54,3.0,2.0,2.0
2020-03-08,Total Confirmed Covid Cases,,21.0,,2.0
2020-03-08,Hospitalised Aged,15-24,0.0,0.0,0.0
2020-03-08,Hospitalised Aged,5-14,2.0,0.0,-1.0
2020-03-08,Aged,1-4,0.0,0.0,0.0
2020-03-08,Aged,5-14,3.0,0.0,-1.0
2020-03-08,Hospitalised Aged,65-74,0.0,0.0,0.0
2020-03-09,Total Covid Deaths,,0.0,,0.0
2020-03-09,Aged,65-74,0.0,0.0,0.0
2020-03-09,Confirmed Covid Cases,,3.0,,1.0
2020-03-09,Requiring Covid Cases,,1.0,0.0,0.0
2020-03-09,Total Confirmed Covid Cases,,24.0,,3.0
2020-03-09,Aged,45-54,3.0,0.0,-2.0
2020-03-09,Confirmed Covid Deaths,,0.0,,0.0
2020-03-09,Hospitalised Aged,5-14,2.0,0.0,0.0
2020-03-09,Male,,9.0,1.0,-3.0
2020-03-09,Total Confirmed Covid Cases,,24.0,,3.0
2020-03-09,Aged,75-84,0.0,0.0,0.0
2020-03-09,Hospitalised Aged,45-54,2.0,0.0,-1.0
2020-03-09,Aged,25-34,1.0,1.0,1.0
2020-03-09,Aged,85+,0.0,0.0,0.0
2020-03-09,Hospitalised Aged,1-4,0.0,0.0,0.0
2020-03-09,Hospitalised Aged,65-74,0.0,0.0,0.0
2020-03-09,Healthcare Workers Covid Cases,,3.0,1.0,1.0
2020-03-09,Hospitalised Aged,15-24,0.0,0.0,0.0
2020-03-09,Female,,7.0,2.0,1.0
2020-03-09,Median Age,,38.0,-11.0,-22.0
2020-03-09,Aged,1-4,0.0,0.0,0.0
2020-03-09,Aged,15-24,0.0,0.0,0.0
2020-03-09,Hospitalised Aged,55-64,1.0,1.0,1.0
2020-03-09,Aged,55-64,2.0,1.0,0.0
2020-03-09,Hospitalised Aged,35-44,6.0,1.0,0.0
2020-03-09,Hospitalised Covid Cases,,11.0,2.0,0.0
2020-03-09,Aged,35-44,7.0,1.0,-1.0
2020-03-09,Clusters Notified,,,,
2020-03-09,Aged,5-14,3.0,0.0,0.0
2020-03-09,Hospitalised Aged,85+,0.0,0.0,0.0
2020-03-09,Hospitalised Aged,25-34,0.0,0.0,0.0
2020-03-09,Unknown,,0.0,0.0,0.0
2020-03-09,Hospitalised Aged,75-84,0.0,0.0,0.0
2020-03-10,Clusters Notified,,,,
2020-03-10,Hospitalised Aged,1-4,0.0,0.0,0.0
2020-03-10,Aged,65-74,2.0,2.0,2.0
2020-03-10,Aged,45-54,3.0,0.0,0.0
2020-03-10,Requiring Covid Cases,,2.0,1.0,1.0
2020-03-10,Hospitalised Aged,55-64,1.0,0.0,-1.0
2020-03-10,Hospitalised Aged,85+,0.0,0.0,0.0
2020-03-10,Aged,5-14,3.0,0.0,0.0
2020-03-10,Hospitalised Covid Cases,,13.0,2.0,0.0
2020-03-10,Aged,55-64,2.0,0.0,-1.0
2020-03-10,Hospitalised Aged,75-84,0.0,0.0,0.0
2020-03-10,Aged,1-4,0.0,0.0,0.0
2020-03-10,Aged,25-34,1.0,0.0,-1.0
2020-03-10,Aged,15-24,0.0,0.0,0.0
2020-03-10,Unknown,,0.0,0.0,0.0
2020-03-10,Hospitalised Aged,25-34,0.0,0.0,0.0
2020-03-10,Aged,85+,0.0,0.0,0.0
2020-03-10,Total Confirmed Covid Cases,,34.0,,10.0
2020-03-10,Total Covid Deaths,,0.0,,0.0
2020-03-10,Hospitalised Aged,15-24,0.0,0.0,0.0
2020-03-10,Hospitalised Aged,65-74,2.0,2.0,2.0
2020-03-10,Hospitalised Aged,5-14,2.0,0.0,0.0
2020-03-10,Healthcare Workers Covid Cases,,3.0,0.0,-1.0
2020-03-10,Hospitalised Aged,35-44,6.0,0.0,-1.0
2020-03-10,Total Confirmed Covid Cases,,34.0,,10.0
2020-03-10,Female,,7.0,0.0,-2.0
2020-03-10,Hospitalised Aged,45-54,2.0,0.0,0.0
2020-03-10,Confirmed Covid Deaths,,0.0,,0.0
2020-03-10,Median Age,,70.0,32.0,43.0
2020-03-10,Confirmed Covid Cases,,10.0,,7.0
2020-03-10,Aged,75-84,0.0,0.0,0.0
2020-03-10,Aged,35-44,7.0,0.0,-1.0
2020-03-10,Male,,11.0,2.0,1.0
2020-03-11,Hospitalised Aged,65-74,2.0,0.0,-2.0
2020-03-11,Hospitalised Aged,25-34,0.0,0.0,0.0
2020-03-11,Aged,35-44,8.0,1.0,1.0
2020-03-11,Total Confirmed Covid Cases,,43.0,,9.0
2020-03-11,Hospitalised Aged,55-64,3.0,2.0,2.0
2020-03-11,Hospitalised Aged,5-14,2.0,0.0,0.0
2020-03-11,Aged,65-74,3.0,1.0,-1.0
2020-03-11,Male,,13.0,2.0,0.0
2020-03-11,Female,,12.0,5.0,5.0
2020-03-11,Aged,55-64,5.0,3.0,3.0
2020-03-11,Aged,15-24,0.0,0.0,0.0
2020-03-11,Total Confirmed Covid Cases,,43.0,,9.0
2020-03-11,Hospitalised Aged,85+,0.0,0.0,0.0
2020-03-11,Hospitalised Aged,35-44,7.0,1.0,1.0
2020-03-11,Aged,5-14,3.0,0.0,0.0
2020-03-11,Healthcare Workers Covid Cases,,5.0,2.0,2.0
2020-03-11,Total Covid Deaths,,1.0,,1.0
2020-03-11,Unknown,,0.0,0.0,0.0
2020-03-11,Hospitalised Aged,75-84,0.0,0.0,0.0
2020-03-11,Aged,1-4,0.0,0.0,0.0
2020-03-11,Confirmed Covid Deaths,,1.0,,1.0
2020-03-11,Aged,25-34,1.0,0.0,0.0
2020-03-11,Hospitalised Aged,15-24,0.0,0.0,0.0
2020-03-11,Hospitalised Covid Cases,,18.0,5.0,3.0
2020-03-11,Aged,45-54,5.0,2.0,2.0
2020-03-11,Requiring Covid Cases,,2.0,0.0,-1.0
2020-03-11,Aged,85+,0.0,0.0,0.0
2020-03-11,Confirmed Covid Cases,,9.0,,-1.0
2020-03-11,Aged,75-84,0.0,0.0,0.0
2020-03-11,Hospitalised Aged,45-54,4.0,2.0,2.0
2020-03-11,Hospitalised Aged,1-4,0.0,0.0,0.0
2020-03-11,Median Age,,61.0,-9.0,-41.0
2020-03-11,Clusters Notified,,,,
2020-03-12,Hospitalised Aged,35-44,7.0,0.0,-1.0
2020-03-12,Aged,35-44,9.0,1.0,0.0
2020-03-12,Healthcare Workers Covid Cases,,8.0,3.0,1.0
2020-03-12,Hospitalised Aged,1-4,0.0,0.0,0.0
2020-03-12,Unknown,,0.0,0.0,0.0
2020-03-12,Female,,17.0,5.0,0.0
2020-03-12,Aged,85+,0.0,0.0,0.0
2020-03-12,Aged,55-64,8.0,3.0,0.0
2020-03-12,Total Confirmed Covid Cases,,70.0,,27.0
2020-03-12,Median Age,,46.0,-15.0,-6.0
2020-03-12,Clusters Notified,,,,
2020-03-12,Aged,1-4,0.0,0.0,0.0
2020-03-12,Hospitalised Aged,25-34,3.0,3.0,3.0
2020-03-12,Aged,25-34,4.0,3.0,3.0
2020-03-12,Hospitalised Covid Cases,,28.0,10.0,5.0
2020-03-12,Aged,5-14,3.0,0.0,0.0
2020-03-12,Aged,65-74,4.0,1.0,0.0
2020-03-12,Hospitalised Aged,45-54,6.0,2.0,0.0
2020-03-12,Aged,15-24,1.0,1.0,1.0
2020-03-12,Confirmed Covid Deaths,,0.0,,-1.0
2020-03-12,Confirmed Covid Cases,,27.0,,18.0
2020-03-12,Hospitalised Aged,55-64,6.0,3.0,1.0
2020-03-12,Total Confirmed Covid Cases,,70.0,,27.0
2020-03-12,Aged,75-84,1.0,1.0,1.0
2020-03-12,Requiring Covid Cases,,3.0,1.0,1.0
2020-03-12,Male,,20.0,7.0,5.0
2020-03-12,Hospitalised Aged,65-74,3.0,1.0,1.0
2020-03-12,Hospitalised Aged,75-84,1.0,1.0,1.0
2020-03-12,Aged,45-54,7.0,2.0,0.0
2020-03-12,Hospitalised Aged,85+,0.0,0.0,0.0
2020-03-12,Hospitalised Aged,5-14,2.0,0.0,0.0
2020-03-12,Hospitalised Aged,15-24,0.0,0.0,0.0
2020-03-12,Total Covid Deaths,,1.0,,0.0
2020-03-13,Aged,25-34,6.0,2.0,-1.0
2020-03-13,Female,,20.0,3.0,-2.0
2020-03-13,Hospitalised Aged,45-54,7.0,1.0,-1.0
2020-03-13,Healthcare Workers Covid Cases,,10.0,2.0,-1.0
2020-03-13,Hospitalised Aged,5-14,2.0,0.0,0.0
2020-03-13,Hospitalised Aged,65-74,5.0,2.0,1.0
2020-03-13,Hospitalised Aged,25-34,5.0,2.0,-1.0
2020-03-13,Aged,45-54,9.0,2.0,0.0
2020-03-13,Hospitalised Aged,1-4,0.0,0.0,0.0
2020-03-13,Aged,75-84,2.0,1.0,0.0
2020-03-13,Aged,85+,1.0,1.0,1.0
2020-03-13,Unknown,,0.0,0.0,0.0
2020-03-13,Aged,15-24,1.0,0.0,-1.0
2020-03-13,Requiring Covid Cases,,5.0,2.0,1.0
2020-03-13,Hospitalised Covid Cases,,37.0,9.0,-1.0
2020-03-13,Total Covid Deaths,,1.0,,0.0
2020-03-13,Hospitalised Aged,15-24,0.0,0.0,0.0
2020-03-13,Hospitalised Aged,35-44,7.0,0.0,0.0
2020-03-13,Hospitalised Aged,85+,0.0,0.0,0.0
2020-03-13,Total Confirmed Covid Cases,,90.0,,20.0
2020-03-13,Aged,1-4,0.0,0.0,0.0
2020-03-13,Confirmed Covid Cases,,20.0,,-7.0
2020-03-13,Hospitalised Aged,75-84,2.0,1.0,0.0
2020-03-13,Male,,29.0,9.0,2.0
2020-03-13,Aged,55-64,12.0,4.0,1.0
2020-03-13,Aged,65-74,6.0,2.0,1.0
2020-03-13,Total Confirmed Covid Cases,,90.0,,20.0
2020-03-13,Clusters Notified,,,,
2020-03-13,Median Age,,61.0,15.0,30.0
2020-03-13,Hospitalised Aged,55-64,9.0,3.0,0.0
2020-03-13,Confirmed Covid Deaths,,0.0,,0.0
2020-03-13,Aged,5-14,3.0,0.0,0.0
2020-03-13,Aged,35-44,9.0,0.0,-1.0
2020-03-14,Clusters Notified,,,,
2020-03-14,Aged,15-24,11.0,10.0,10.0
2020-03-14,Hospitalised Aged,35-44,10.0,3.0,3.0
2020-03-14,Healthcare Workers Covid Cases,,14.0,4.0,2.0
2020-03-14,Hospitalised Aged,5-14,2.0,0.0,0.0
2020-03-14,Aged,45-54,13.0,4.0,2.0
2020-03-14,Aged,75-84,2.0,0.0,-1.0
2020-03-14,Requiring Covid Cases,,8.0,3.0,1.0
2020-03-14,Hospitalised Aged,55-64,11.0,2.0,-1.0
2020-03-14,Confirmed Covid Deaths,,1.0,,1.0
2020-03-14,Aged,25-34,11.0,5.0,3.0
2020-03-14,Hospitalised Aged,85+,0.0,0.0,0.0
2020-03-14,Aged,1-4,0.0,0.0,0.0
2020-03-14,Confirmed Covid Cases,,39.0,,19.0
2020-03-14,Aged,55-64,15.0,3.0,-1.0
2020-03-14,Aged,5-14,3.0,0.0,0.0
2020-03-14,Female,,33.0,13.0,10.0
2020-03-14,Hospitalised Aged,1-4,0.0,0.0,0.0
2020-03-14,Hospitalised Covid Cases,,48.0,11.0,2.0
2020-03-14,Hospitalised Aged,15-24,2.0,2.0,2.0
2020-03-14,Total Confirmed Covid Cases,,129.0,,39.0
2020-03-14,Hospitalised Aged,25-34,7.0,2.0,0.0
2020-03-14,Median Age,,31.0,-30.0,-45.0
2020-03-14,Aged,35-44,14.0,5.0,5.0
2020-03-14,Aged,65-74,8.0,2.0,0.0
2020-03-14,Hospitalised Aged,75-84,2.0,0.0,-1.0
2020-03-14,Male,,45.0,16.0,7.0
2020-03-14,Total Covid Deaths,,2.0,,1.0
2020-03-14,Hospitalised Aged,65-74,7.0,2.0,0.0
2020-03-14,Aged,85+,1.0,0.0,-1.0
2020-03-14,Unknown,,0.0,0.0,0.0
2020-03-14,Hospitalised Aged,45-54,7.0,0.0,-1.0
2020-03-14,Total Confirmed Covid Cases,,129.0,,39.0
2020-03-15,Healthcare Workers Covid Cases,,24.0,10.0,6.0
2020-03-15,Confirmed Covid Deaths,,0.0,,-1.0
2020-03-15,Male,,65.0,20.0,4.0
2020-03-15,Hospitalised Covid Cases,,56.0,8.0,-3.0
2020-03-15,Hospitalised Aged,25-34,8.0,1.0,-1.0
2020-03-15,Hospitalised Aged,85+,0.0,0.0,0.0
2020-03-15,Hospitalised Aged,35-44,11.0,1.0,-2.0
2020-03-15,Median Age,,49.0,18.0,48.0
2020-03-15,Female,,45.0,12.0,-1.0
2020-03-15,Total Covid Deaths,,2.0,,0.0
2020-03-15,Total Confirmed Covid Cases,,169.0,,40.0
2020-03-15,Aged,1-4,0.0,0.0,0.0
2020-03-15,Confirmed Covid Cases,,40.0,,1.0
2020-03-15,Aged,5-14,4.0,1.0,1.0
2020-03-15,Total Confirmed Covid Cases,,169.0,,40.0
2020-03-15,Aged,85+,2.0,1.0,1.0
2020-03-15,Hospitalised Aged,1-4,0.0,0.0,0.0
2020-03-15,Hospitalised Aged,55-64,14.0,3.0,1.0
2020-03-15,Aged,75-84,4.0,2.0,2.0
2020-03-15,Aged,65-74,8.0,0.0,-2.0
2020-03-15,Hospitalised Aged,5-14,2.0,0.0,0.0
2020-03-15,Hospitalised Aged,15-24,3.0,1.0,-1.0
2020-03-15,Aged,45-54,21.0,8.0,4.0
2020-03-15,Hospitalised Aged,65-74,7.0,0.0,-2.0
2020-03-15,Aged,25-34,14.0,3.0,-2.0
2020-03-15,Aged,15-24,13.0,2.0,-8.0
2020-03-15,Hospitalised Aged,45-54,8.0,1.0,1.0
2020-03-15,Aged,55-64,24.0,9.0,6.0
2020-03-15,Hospitalised Aged,75-84,3.0,1.0,1.0
2020-03-15,Clusters Notified,,,,
2020-03-15,Aged,35-44,20.0,6.0,1.0
2020-03-15,Requiring Covid Cases,,8.0,0.0,-3.0
2020-03-15,Unknown,,0.0,0.0,0.0
2020-03-16,Hospitalised Aged,55-64,15.0,1.0,-2.0
2020-03-16,Total Confirmed Covid Cases,,223.0,,54.0
2020-03-16,Confirmed Covid Cases,,54.0,,14.0
2020-03-16,Hospitalised Aged,5-14,2.0,0.0,0.0
2020-03-16,Aged,1-4,0.0,0.0,0.0
2020-03-16,Total Confirmed Covid Cases,,223.0,,54.0
2020-03-16,Aged,45-54,27.0,6.0,-2.0
2020-03-16,Total Covid Deaths,,2.0,,0.0
2020-03-16,Hospitalised Aged,45-54,9.0,1.0,0.0
2020-03-16,Hospitalised Aged,65-74,10.0,3.0,3.0
2020-03-16,Median Age,,48.0,-1.0,-19.0
2020-03-16,Aged,75-84,5.0,1.0,-1.0
2020-03-16,Requiring Covid Cases,,12.0,4.0,4.0
2020-03-16,Aged,25-34,17.0,3.0,0.0
2020-03-16,Hospitalised Aged,35-44,11.0,0.0,-1.0
2020-03-16,Hospitalised Aged,85+,1.0,1.0,1.0
2020-03-16,Male,,89.0,24.0,4.0
2020-03-16,Confirmed Covid Deaths,,0.0,,0.0
2020-03-16,Hospitalised Covid Cases,,63.0,7.0,-1.0
2020-03-16,Hospitalised Aged,75-84,4.0,1.0,0.0
2020-03-16,Aged,65-74,14.0,6.0,6.0
2020-03-16,Hospitalised Aged,15-24,3.0,0.0,-1.0
2020-03-16,Hospitalised Aged,1-4,0.0,0.0,0.0
2020-03-16,Aged,85+,3.0,1.0,0.0
2020-03-16,Female,,54.0,9.0,-3.0
2020-03-16,Healthcare Workers Covid Cases,,26.0,2.0,-8.0
2020-03-16,Aged,55-64,30.0,6.0,-3.0
2020-03-16,Hospitalised Aged,25-34,8.0,0.0,-1.0
2020-03-16,Aged,35-44,27.0,7.0,1.0
2020-03-16,Clusters Notified,,,,
2020-03-16,Aged,5-14,4.0,0.0,-1.0
2020-03-16,Aged,15-24,16.0,3.0,1.0
2020-03-16,Unknown,,0.0,0.0,0.0
2020-03-17,Clusters Notified,,,,
2020-03-17,Hospitalised Aged,85+,1.0,0.0,-1.0
2020-03-17,Hospitalised Aged,1-4,0.0,0.0,0.0
2020-03-17,Median Age,,40.0,-8.0,-7.0
2020-03-17,Hospitalised Aged,55-64,15.0,0.0,-1.0
2020-03-17,Hospitalised Aged,35-44,11.0,0.0,0.0
2020-03-17,Aged,5-14,4.0,0.0,0.0
